state,county,latitude,longitude
PA,Jefferson,41.171119,-78.913113
PA,Cambria,40.658721,-78.794582
PA,Clearfield,41.054375,-78.41095
PA,Elk,41.415878,-78.665057
PA,Forest,41.475887,-79.239101
PA,Cameron,41.417566,-78.204927
PA,Butler,40.885861,-79.934048
PA,Clarion,40.98399,-79.615234
PA,Lawrence,40.964516,-80.300736
PA,Crawford,41.629436,-80.214024
PA,Mercer,41.286567,-80.423727
PA,Venango,41.330725,-79.775153
PA,Warren,41.935848,-79.309668
PA,Mckean,41.742791,-78.78726
PA,Erie,41.894652,-80.311081
PA,Blair,40.489433,-78.349874
PA,Huntingdon,40.54851,-78.095064
PA,Centre,40.813628,-78.238986
PA,Potter,41.615099,-77.957975
PA,Clinton,41.105476,-77.50553
PA,Tioga,41.862339,-77.258974
PA,Bradford,41.77197,-76.521266
PA,Cumberland,40.21604,-76.924996
PA,Mifflin,40.539667,-77.790168
PA,Lebanon,40.352637,-76.435873
PA,Dauphin,40.600992,-76.811693
PA,Perry,40.29736,-77.56437
PA,Juniata,40.478716,-77.345514
PA,Northumberland,40.894363,-76.596151
PA,York,40.091217,-76.977835
PA,Lancaster,40.150963,-76.61028
PA,Franklin,39.908055,-77.666445
PA,Adams,39.896923,-76.994725
PA,Lycoming,41.266716,-76.958314
PA,Sullivan,41.432901,-76.516887
PA,Union,40.978059,-77.08184
PA,Snyder,40.726469,-77.272828
PA,Columbia,41.218998,-76.395426
PA,Montour,40.991968,-76.647082
PA,Schuylkill,40.708751,-76.282986
PA,Northampton,40.693376,-75.471156
PA,Lehigh,40.514472,-75.602941
PA,Carbon,40.813281,-75.59202
PA,Bucks,40.328645,-75.10278
PA,Montgomery,40.382488,-75.51541
PA,Berks,40.454205,-75.581444
PA,Monroe,40.903599,-75.476885
PA,Luzerne,40.964584,-76.008333
PA,Pike,41.185011,-74.97889
PA,Wayne,41.615989,-75.274708
PA,Lackawanna,41.487598,-75.533403
PA,Susquehanna,41.654319,-75.614463
PA,Wyoming,41.562365,-75.782573
PA,Delaware,39.998811,-75.30793
PA,Philadelphia,40.001811,-75.11787
PA,Chester,40.040057,-75.488793
DE,New Castle,39.594736,-75.693903
DE,Kent,39.156376,-75.49549
DE,Sussex,38.555533,-75.186955
DC,District Of Columbia,38.911936,-77.016719
VA,Loudoun,39.002125,-77.442066
VA,Rappahannock,38.6842,-78.016813
VA,Manassas City,38.744685,-77.487162
VA,Manassas Park City,38.770741,-77.449443
VA,Fauquier,38.840456,-77.891136
VA,Fairfax,38.84479,-77.46701
